experiment_id,transcript_id,video_id,model_name,technique_name,rag_enabled,gt_name_original,gt_name_en,gt_unit_original,gt_unit_en,pred_name_original,pred_name_en,pred_unit_original,pred_unit_en
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
1,1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,Air Suam,Warm Water,cawan,,Air suam,,cawan,cup
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,Susu Pekat,Condensed Milk,cawan,,Susu pekat,,cawan,cup
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,Susu Pekat,Condensed Milk,,,Susu pekat,,cawan,cup
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,,,,,Yis,,paket,package
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,Telur,Egg,biji,,Telur,,biji,egg
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,Tepung Gandum,Wheat Flour,cawan,,Tepung gandum,,cawan setengah,1/2 cup
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,Tepung Gandum,Wheat Flour,cawan,,Tepung gandum,,cawan setengah,1/2 cup
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,Tepung Gandum,Wheat Flour,cawan,,Tepung gandum,,cawan setengah,1/2 cup
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,Garam,Salt,sudu_kecil,,Garam,,sudu kecil,teaspoon
2,2,2,Llama 3.2 3B Instruct,zero-shot,false,,,,,Marjerin,,sudu,tablespoon
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,Lala,Clam,,,Lala,Lala,,
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,Serai,Lemongrass,batang,,Serai,Serai,,
