video_id,model_name,technique_name,rag_enabled,pred_count,true_positives,false_positives,gt_count,json_valid,pred_total_kcal,gt_total_kcal
1,Gemma-SEA-LION v4 4B,chain-of-thought,false,15,12,3,16,true,,544.4000000953674
1,Gemma-SEA-LION v4 4B,few-shot,false,15,13,2,16,true,,544.4000000953674
1,Gemma-SEA-LION v4 4B,structured-output,false,15,11,4,16,true,,544.4000000953674
1,Gemma-SEA-LION v4 4B,zero-shot,false,0,0,0,16,true,,544.4000000953674
1,Llama 3.2 3B Instruct,chain-of-thought,false,1,0,1,16,true,420.0,544.4000000953674
1,Llama 3.2 3B Instruct,few-shot,false,14,6,8,16,true,341.0,544.4000000953674
1,Llama 3.2 3B Instruct,structured-output,false,15,11,4,16,true,720.8,544.4000000953674
1,Llama 3.2 3B Instruct,zero-shot,false,12,0,12,16,true,2348.6,544.4000000953674
1,MedGemma 4B,chain-of-thought,false,2,2,0,16,true,,544.4000000953674
1,MedGemma 4B,few-shot,false,15,12,3,16,true,,544.4000000953674
1,MedGemma 4B,structured-output,false,16,13,3,16,true,,544.4000000953674
1,MedGemma 4B,zero-shot,false,17,14,3,16,true,,544.4000000953674
1,Phi-4-mini 3.8B Instruct,chain-of-thought,false,1,0,1,16,true,0.0,544.4000000953674
1,Phi-4-mini 3.8B Instruct,few-shot,false,0,0,0,16,true,,544.4000000953674
1,Phi-4-mini 3.8B Instruct,structured-output,false,1,0,1,16,true,0.0,544.4000000953674
1,Phi-4-mini 3.8B Instruct,zero-shot,false,0,0,0,16,true,,544.4000000953674
1,Qwen 2.5 3B Instruct,chain-of-thought,false,12,9,3,16,true,285.3,544.4000000953674
1,Qwen 2.5 3B Instruct,few-shot,false,0,0,0,16,true,,544.4000000953674
1,Qwen 2.5 3B Instruct,structured-output,false,12,8,4,16,true,319.5,544.4000000953674
1,Qwen 2.5 3B Instruct,zero-shot,false,0,0,0,16,true,,544.4000000953674
2,Gemma-SEA-LION v4 4B,chain-of-thought,false,7,7,0,12,true,4835.8,8082.799968719482
2,Gemma-SEA-LION v4 4B,few-shot,false,7,7,0,12,true,3480.0,8082.799968719482
2,Gemma-SEA-LION v4 4B,structured-output,false,7,7,0,12,true,3150.0,8082.799968719482
2,Gemma-SEA-LION v4 4B,zero-shot,false,7,7,0,12,true,2835.0,8082.799968719482
2,Llama 3.2 3B Instruct,chain-of-thought,false,7,0,7,12,true,720.0,8082.799968719482
2,Llama 3.2 3B Instruct,few-shot,false,7,6,1,12,true,384.0,8082.799968719482
2,Llama 3.2 3B Instruct,structured-output,false,7,6,1,12,true,542.8,8082.799968719482
