experiment_id,video_id,model_name,technique_name,rag_enabled,gt_total_energy_kcal,gt_total_protein_g,gt_total_fat_g,gt_total_carbohydrate_g,pred_total_energy_kcal,pred_total_protein_g,pred_total_fat_g,pred_total_carbohydrate_g
1,1,Llama 3.2 3B Instruct,zero-shot,false,544.4000000953674,28.239999897778034,14.849999971687794,73.72999906539917,2348.6,268.3,133.3,248.5
2,2,Llama 3.2 3B Instruct,zero-shot,false,8082.799968719482,219.04000005126,107.9800009727478,1526.2300002872944,0.0,9.0,5.5,26.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,450.699999332428,28.399999890476465,3.900000035762787,87.39000087976456,420.0,26.5,27.5,45.0
4,4,Llama 3.2 3B Instruct,zero-shot,false,2557.1000022888184,126.38999999314547,75.18999978713691,345.8999995291233,,,,
5,5,Llama 3.2 3B Instruct,zero-shot,false,1896.2999992370605,65.6999998986721,28.510000048205256,338.8499997854233,,,,
6,6,Llama 3.2 3B Instruct,zero-shot,false,1327.400007724762,91.18999999761581,60.900000005960464,119.91999989748001,150.8,8.3,7.3,24.4
7,7,Llama 3.2 3B Instruct,zero-shot,false,1093.2000122070312,11.199999988079071,53.05000000074506,145.94999885559082,290.0,3.0,5.5,68.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,1783.7000031471252,73.54999992996454,58.36999977566302,272.4999993443489,,,,
9,9,Llama 3.2 3B Instruct,zero-shot,false,1290.5000038146973,9.710000112652779,4.190000012516975,311.50000190734863,234.8,3.5,10.3,37.9
10,10,Llama 3.2 3B Instruct,zero-shot,false,657.5000112056732,11.090000063180923,44.40999961644411,64.35000056959689,,,,
11,11,Llama 3.2 3B Instruct,zero-shot,false,1017.3000030517578,49.0500009059906,38.89999967813492,125.5,1061.7,10.0,123.4,144.0
12,12,Llama 3.2 3B Instruct,zero-shot,false,1899.2000045776367,43.02999997884035,143.230000032112,134.70999917387962,,,,
13,13,Llama 3.2 3B Instruct,zero-shot,false,4149.800009727478,98.50999999977648,145.8600003812462,619.4499995708466,1242.8,34.5,74.4,84.9
14,14,Llama 3.2 3B Instruct,zero-shot,false,1024.6000020503998,33.650000400841236,14.209999959915876,191.51999926567078,,,,
15,15,Llama 3.2 3B Instruct,zero-shot,false,78188.99999809265,1158.0400000009686,2607.309999236837,13131.669999975711,,,,
16,16,Llama 3.2 3B Instruct,zero-shot,false,16646.6997756958,87.65999918617308,1537.6199998203665,670.2399999592453,0.0,3.25,0.0,14.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,945.2999966144562,11.690000101923943,3.1400000397115946,231.60000053048134,1000.0,40.0,60.0,250.0
18,18,Llama 3.2 3B Instruct,zero-shot,false,149153.60000145435,5262.709999926388,632.4900000095367,30058.11000019312,,,,
19,19,Llama 3.2 3B Instruct,zero-shot,false,4526.200004577637,119.94999994337559,60.779999017715454,850.7699993941933,120.8,2.4,3.2,25.9
20,20,Llama 3.2 3B Instruct,zero-shot,false,1969.4000005722046,61.220000348985195,28.80000004172325,358.5499994009733,1232.5,33.5,74.25,244.0
21,21,Llama 3.2 3B Instruct,zero-shot,false,4713.30001449585,136.6499999910593,78.19000017642975,843.0299996230751,,,,
22,22,Llama 3.2 3B Instruct,zero-shot,false,738.9000034332275,21.330000068992376,6.540000203996897,154.56000113487244,,,,
23,23,Llama 3.2 3B Instruct,zero-shot,false,536.8000018596649,46.01000007241964,8.5500000808388,82.88000102341175,444.8,23.1,24.2,34.5
24,24,Llama 3.2 3B Instruct,zero-shot,false,2855.800003051758,31.21999990940094,184.55000019073486,305.2200000882149,0.0,0.0,0.0,0.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,793.6999994516373,92.01999977976084,9.619999911636114,91.58999973535538,1508.2,127.7,73.3,159.1
26,26,Llama 3.2 3B Instruct,zero-shot,false,2396.7999963760376,36.449999989941716,21.739999629557133,517.5799998734146,10351.4,24.7,123.9,1035.4
27,27,Llama 3.2 3B Instruct,zero-shot,false,383.0999994277954,28.789999950677156,10.87999982573092,55.340000450611115,,,,
28,28,Llama 3.2 3B Instruct,zero-shot,false,3348.600016117096,58.88000035658479,128.25000002607703,547.6900000665337,3845.9,43.1,243.2,434.8
29,29,Llama 3.2 3B Instruct,zero-shot,false,1745.7999930381775,66.85000034421682,109.60000000707805,167.2600005865097,1044.8,54.3,74.9,34.5
30,30,Llama 3.2 3B Instruct,zero-shot,false,286.5,6.319999933242798,11.959999978542328,38.69999980926514,0.0,0.0,0.0,0.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,641.1000003814697,30.079999938607216,39.259998835623264,46.11999953724444,550.6,28.1,33.9,41.8
32,32,Llama 3.2 3B Instruct,zero-shot,false,2140.499987602234,39.89999979548156,37.74999912455678,412.5999998729676,,,,
33,33,Llama 3.2 3B Instruct,zero-shot,false,1062.4000000953674,133.67000080272555,18.879999917000532,87.75000101327896,2351.8,44.9,74.2,316.3
