experiment_id,video_id,model_name,technique_name,rag_enabled,gt_energy_kcal,gt_protein_g,gt_fat_g,gt_carbohydrate_g,pred_energy_kcal,pred_protein_g,pred_fat_g,pred_carbohydrate_g
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,1043.2,26.0,29.25,178.75,0.0,0.0,0.0,0.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,96.3,2.4,2.7,16.5,0.0,0.0,0.0,0.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,77.5,6.5,5.5,0.55,0.0,6.0,0.0,0.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,2730.0,75.0,7.5,570.0,0.0,3.0,0.0,24.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,3185.0,87.5,8.75,665.0,0.0,3.0,0.0,24.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,364.0,10.0,1.0,76.0,0.0,3.0,0.0,24.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,5.0,1.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,73.0,13.0,1.0,2.6,20.0,3.0,0.0,4.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,19.8,0.36,0.1,5.06,15.0,0.5,0.5,3.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,9.9,0.18,0.05,2.53,15.0,0.5,0.5,3.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,160.0,7.6,1.6,35.2,10.0,1.0,0.5,2.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,,,,,5.0,0.5,0.1,1.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,20.0,0.55,0.05,4.65,15.0,1.0,0.5,3.0
