experiment_id,video_id,model_name,technique_name,rag_enabled,gt_ingredient_count,pred_ingredient_count,true_positives,false_positives
1,1,Llama 3.2 3B Instruct,zero-shot,false,16,12,0,12
2,2,Llama 3.2 3B Instruct,zero-shot,false,12,7,5,2
3,3,Llama 3.2 3B Instruct,zero-shot,false,12,9,7,2
4,4,Llama 3.2 3B Instruct,zero-shot,false,20,0,0,0
5,5,Llama 3.2 3B Instruct,zero-shot,false,14,0,0,0
6,6,Llama 3.2 3B Instruct,zero-shot,false,16,7,4,3
7,7,Llama 3.2 3B Instruct,zero-shot,false,8,3,0,3
8,8,Llama 3.2 3B Instruct,zero-shot,false,38,19,0,19
9,9,Llama 3.2 3B Instruct,zero-shot,false,8,5,5,0
10,10,Llama 3.2 3B Instruct,zero-shot,false,15,0,0,0
11,11,Llama 3.2 3B Instruct,zero-shot,false,8,6,6,0
12,12,Llama 3.2 3B Instruct,zero-shot,false,17,0,0,0
13,13,Llama 3.2 3B Instruct,zero-shot,false,13,14,1,13
14,14,Llama 3.2 3B Instruct,zero-shot,false,26,0,0,0
15,15,Llama 3.2 3B Instruct,zero-shot,false,9,0,0,0
16,16,Llama 3.2 3B Instruct,zero-shot,false,11,9,0,9
17,17,Llama 3.2 3B Instruct,zero-shot,false,18,12,0,12
18,18,Llama 3.2 3B Instruct,zero-shot,false,17,0,0,0
19,19,Llama 3.2 3B Instruct,zero-shot,false,17,8,2,6
20,20,Llama 3.2 3B Instruct,zero-shot,false,17,11,2,9
21,21,Llama 3.2 3B Instruct,zero-shot,false,13,0,0,0
22,22,Llama 3.2 3B Instruct,zero-shot,false,15,20,0,20
23,23,Llama 3.2 3B Instruct,zero-shot,false,15,9,8,1
24,24,Llama 3.2 3B Instruct,zero-shot,false,3,3,3,0
25,25,Llama 3.2 3B Instruct,zero-shot,false,16,8,7,1
26,26,Llama 3.2 3B Instruct,zero-shot,false,12,10,9,1
27,27,Llama 3.2 3B Instruct,zero-shot,false,15,18,3,15
28,28,Llama 3.2 3B Instruct,zero-shot,false,20,13,11,2
29,29,Llama 3.2 3B Instruct,zero-shot,false,17,15,13,2
30,30,Llama 3.2 3B Instruct,zero-shot,false,2,4,0,4
31,31,Llama 3.2 3B Instruct,zero-shot,false,9,7,3,4
32,32,Llama 3.2 3B Instruct,zero-shot,false,12,0,0,0
33,33,Llama 3.2 3B Instruct,zero-shot,false,11,7,4,3
34,34,Llama 3.2 3B Instruct,zero-shot,false,15,0,0,0
35,35,Llama 3.2 3B Instruct,zero-shot,false,8,6,4,2
36,36,Llama 3.2 3B Instruct,zero-shot,false,12,19,0,19
37,37,Llama 3.2 3B Instruct,zero-shot,false,11,17,11,6
38,38,Llama 3.2 3B Instruct,zero-shot,false,9,11,7,4
39,39,Llama 3.2 3B Instruct,zero-shot,false,15,11,7,4
40,40,Llama 3.2 3B Instruct,zero-shot,false,13,16,7,9
41,41,Llama 3.2 3B Instruct,zero-shot,false,15,0,0,0
42,42,Llama 3.2 3B Instruct,zero-shot,false,14,0,0,0
43,43,Llama 3.2 3B Instruct,zero-shot,false,15,8,5,3
44,44,Llama 3.2 3B Instruct,zero-shot,false,32,0,0,0
45,45,Llama 3.2 3B Instruct,zero-shot,false,7,6,3,3
46,46,Llama 3.2 3B Instruct,zero-shot,false,18,0,0,0
47,47,Llama 3.2 3B Instruct,zero-shot,false,12,6,2,4
48,48,Llama 3.2 3B Instruct,zero-shot,false,21,10,7,3
49,49,Llama 3.2 3B Instruct,zero-shot,false,18,18,1,17
50,50,Llama 3.2 3B Instruct,zero-shot,false,15,0,0,0
51,1,Llama 3.2 3B Instruct,few-shot,false,16,14,6,8
52,2,Llama 3.2 3B Instruct,few-shot,false,12,7,6,1
53,3,Llama 3.2 3B Instruct,few-shot,false,12,11,8,3
54,4,Llama 3.2 3B Instruct,few-shot,false,20,16,8,8
55,5,Llama 3.2 3B Instruct,few-shot,false,14,9,8,1
56,6,Llama 3.2 3B Instruct,few-shot,false,16,6,4,2
57,7,Llama 3.2 3B Instruct,few-shot,false,8,3,1,2
58,8,Llama 3.2 3B Instruct,few-shot,false,38,18,13,5
59,9,Llama 3.2 3B Instruct,few-shot,false,8,6,5,1
60,10,Llama 3.2 3B Instruct,few-shot,false,15,0,0,0
61,11,Llama 3.2 3B Instruct,few-shot,false,8,6,6,0
62,12,Llama 3.2 3B Instruct,few-shot,false,17,10,2,8
63,13,Llama 3.2 3B Instruct,few-shot,false,13,15,0,15
64,14,Llama 3.2 3B Instruct,few-shot,false,26,6,1,5
65,15,Llama 3.2 3B Instruct,few-shot,false,9,0,0,0
66,16,Llama 3.2 3B Instruct,few-shot,false,11,7,0,7
67,17,Llama 3.2 3B Instruct,few-shot,false,18,16,0,16
68,18,Llama 3.2 3B Instruct,few-shot,false,17,10,2,8
69,19,Llama 3.2 3B Instruct,few-shot,false,17,8,2,6
70,20,Llama 3.2 3B Instruct,few-shot,false,17,9,2,7
71,21,Llama 3.2 3B Instruct,few-shot,false,13,7,7,0
72,22,Llama 3.2 3B Instruct,few-shot,false,15,10,8,2
73,23,Llama 3.2 3B Instruct,few-shot,false,15,9,9,0
74,24,Llama 3.2 3B Instruct,few-shot,false,3,3,3,0
75,25,Llama 3.2 3B Instruct,few-shot,false,16,8,6,2
76,26,Llama 3.2 3B Instruct,few-shot,false,12,9,8,1
77,27,Llama 3.2 3B Instruct,few-shot,false,15,10,9,1
78,28,Llama 3.2 3B Instruct,few-shot,false,20,18,15,3
79,29,Llama 3.2 3B Instruct,few-shot,false,17,16,14,2
80,30,Llama 3.2 3B Instruct,few-shot,false,2,2,2,0
81,31,Llama 3.2 3B Instruct,few-shot,false,9,9,9,0
82,32,Llama 3.2 3B Instruct,few-shot,false,12,9,7,2
83,33,Llama 3.2 3B Instruct,few-shot,false,11,7,7,0
84,34,Llama 3.2 3B Instruct,few-shot,false,15,0,0,0
85,35,Llama 3.2 3B Instruct,few-shot,false,8,5,4,1
86,36,Llama 3.2 3B Instruct,few-shot,false,12,4,4,0
87,37,Llama 3.2 3B Instruct,few-shot,false,11,12,5,7
88,38,Llama 3.2 3B Instruct,few-shot,false,9,9,6,3
89,39,Llama 3.2 3B Instruct,few-shot,false,15,11,6,5
90,40,Llama 3.2 3B Instruct,few-shot,false,13,9,6,3
91,41,Llama 3.2 3B Instruct,few-shot,false,15,11,10,1
92,42,Llama 3.2 3B Instruct,few-shot,false,14,10,10,0
93,43,Llama 3.2 3B Instruct,few-shot,false,15,13,6,7
94,44,Llama 3.2 3B Instruct,few-shot,false,32,18,18,0
95,45,Llama 3.2 3B Instruct,few-shot,false,7,7,4,3
96,46,Llama 3.2 3B Instruct,few-shot,false,18,8,7,1
97,47,Llama 3.2 3B Instruct,few-shot,false,12,6,5,1
98,48,Llama 3.2 3B Instruct,few-shot,false,21,11,9,2
99,49,Llama 3.2 3B Instruct,few-shot,false,18,10,9,1
100,50,Llama 3.2 3B Instruct,few-shot,false,15,6,3,3
101,1,Llama 3.2 3B Instruct,chain-of-thought,false,16,1,0,1
102,2,Llama 3.2 3B Instruct,chain-of-thought,false,12,7,0,7
103,3,Llama 3.2 3B Instruct,chain-of-thought,false,12,7,5,2
104,4,Llama 3.2 3B Instruct,chain-of-thought,false,20,2,1,1
105,5,Llama 3.2 3B Instruct,chain-of-thought,false,14,3,2,1
106,6,Llama 3.2 3B Instruct,chain-of-thought,false,16,7,0,7
107,7,Llama 3.2 3B Instruct,chain-of-thought,false,8,3,1,2
108,8,Llama 3.2 3B Instruct,chain-of-thought,false,38,0,0,0
109,9,Llama 3.2 3B Instruct,chain-of-thought,false,8,5,5,0
110,10,Llama 3.2 3B Instruct,chain-of-thought,false,15,0,0,0
111,11,Llama 3.2 3B Instruct,chain-of-thought,false,8,6,3,3
112,12,Llama 3.2 3B Instruct,chain-of-thought,false,17,6,1,5
113,13,Llama 3.2 3B Instruct,chain-of-thought,false,13,7,0,7
114,14,Llama 3.2 3B Instruct,chain-of-thought,false,26,5,0,5
115,15,Llama 3.2 3B Instruct,chain-of-thought,false,9,0,0,0
116,16,Llama 3.2 3B Instruct,chain-of-thought,false,11,5,0,5
117,17,Llama 3.2 3B Instruct,chain-of-thought,false,18,0,0,0
118,18,Llama 3.2 3B Instruct,chain-of-thought,false,17,0,0,0
119,19,Llama 3.2 3B Instruct,chain-of-thought,false,17,7,2,5
120,20,Llama 3.2 3B Instruct,chain-of-thought,false,17,8,1,7
121,21,Llama 3.2 3B Instruct,chain-of-thought,false,13,0,0,0
122,22,Llama 3.2 3B Instruct,chain-of-thought,false,15,6,4,2
123,23,Llama 3.2 3B Instruct,chain-of-thought,false,15,2,2,0
124,24,Llama 3.2 3B Instruct,chain-of-thought,false,3,3,0,3
125,25,Llama 3.2 3B Instruct,chain-of-thought,false,16,8,2,6
126,26,Llama 3.2 3B Instruct,chain-of-thought,false,12,0,0,0
127,27,Llama 3.2 3B Instruct,chain-of-thought,false,15,1,1,0
128,28,Llama 3.2 3B Instruct,chain-of-thought,false,20,5,3,2
129,29,Llama 3.2 3B Instruct,chain-of-thought,false,17,6,6,0
130,30,Llama 3.2 3B Instruct,chain-of-thought,false,2,4,2,2
131,31,Llama 3.2 3B Instruct,chain-of-thought,false,9,4,0,4
132,32,Llama 3.2 3B Instruct,chain-of-thought,false,12,0,0,0
133,33,Llama 3.2 3B Instruct,chain-of-thought,false,11,0,0,0
