experiment_id,video_id,model_name,technique_name,rag_enabled,pred_name_original,pred_name_en,is_hallucinated
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,true
2,2,Llama 3.2 3B Instruct,zero-shot,false,Air suam,,false
2,2,Llama 3.2 3B Instruct,zero-shot,false,Susu pekat,,false
2,2,Llama 3.2 3B Instruct,zero-shot,false,Yis,,true
2,2,Llama 3.2 3B Instruct,zero-shot,false,Telur,,false
2,2,Llama 3.2 3B Instruct,zero-shot,false,Tepung gandum,,false
2,2,Llama 3.2 3B Instruct,zero-shot,false,Garam,,false
2,2,Llama 3.2 3B Instruct,zero-shot,false,Marjerin,,true
3,3,Llama 3.2 3B Instruct,zero-shot,false,Lala,Lala,false
3,3,Llama 3.2 3B Instruct,zero-shot,false,Serai,Serai,false
3,3,Llama 3.2 3B Instruct,zero-shot,false,Cili Padi,Cili Padi,false
3,3,Llama 3.2 3B Instruct,zero-shot,false,Lada,Lada,true
3,3,Llama 3.2 3B Instruct,zero-shot,false,Bawang Merah,Bawang Merah,false
3,3,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih,Bawang Putih,false
3,3,Llama 3.2 3B Instruct,zero-shot,false,Ketumbar,Ketumbar,true
3,3,Llama 3.2 3B Instruct,zero-shot,false,Sos Tiram,Sos Tiram,false
3,3,Llama 3.2 3B Instruct,zero-shot,false,Sos Ikan,Sos Ikan,false
6,6,Llama 3.2 3B Instruct,zero-shot,false,tempe,,true
6,6,Llama 3.2 3B Instruct,zero-shot,false,cili padi,,false
6,6,Llama 3.2 3B Instruct,zero-shot,false,lada merah,,true
6,6,Llama 3.2 3B Instruct,zero-shot,false,tomato,,false
6,6,Llama 3.2 3B Instruct,zero-shot,false,bawang putih,,false
6,6,Llama 3.2 3B Instruct,zero-shot,false,limau kasturi,,false
6,6,Llama 3.2 3B Instruct,zero-shot,false,kapur,,true
7,7,Llama 3.2 3B Instruct,zero-shot,false,Gula-gula kapas,Gula-gula kapas,true
7,7,Llama 3.2 3B Instruct,zero-shot,false,Kepingan coklat,Chocolate pieces,true
7,7,Llama 3.2 3B Instruct,zero-shot,false,Biskut Marie,Marie biscuits,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,true
9,9,Llama 3.2 3B Instruct,zero-shot,false,Pisang,Banana,false
9,9,Llama 3.2 3B Instruct,zero-shot,false,Gula Melaka,Gula Melaka,false
9,9,Llama 3.2 3B Instruct,zero-shot,false,Sagu,Tapioca Starch,false
9,9,Llama 3.2 3B Instruct,zero-shot,false,Garam,Salt,false
9,9,Llama 3.2 3B Instruct,zero-shot,false,Susu Cair,Milk,false
11,11,Llama 3.2 3B Instruct,zero-shot,false,Susu Cair,Canned Milk,false
11,11,Llama 3.2 3B Instruct,zero-shot,false,Fresh Milk,Fresh Milk,false
11,11,Llama 3.2 3B Instruct,zero-shot,false,Air,Water,false
11,11,Llama 3.2 3B Instruct,zero-shot,false,Susu Pekat,Condensed Milk,false
11,11,Llama 3.2 3B Instruct,zero-shot,false,Agar-Agar,Agar Agar,false
11,11,Llama 3.2 3B Instruct,zero-shot,false,Buah Naga,Dragon Fruit,false
13,13,Llama 3.2 3B Instruct,zero-shot,false,Bihun,Rice Noodles,true
13,13,Llama 3.2 3B Instruct,zero-shot,false,Bawang Merah,Red Onion,true
13,13,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih,Garlic,true
13,13,Llama 3.2 3B Instruct,zero-shot,false,Ikan Bilis,Dried Fish,true
13,13,Llama 3.2 3B Instruct,zero-shot,false,Cili,Chili Pepper,true
13,13,Llama 3.2 3B Instruct,zero-shot,false,Sos Tiram,Tamarind Sauce,true
13,13,Llama 3.2 3B Instruct,zero-shot,false,Kicap Manis,Sweet Soy Sauce,true
13,13,Llama 3.2 3B Instruct,zero-shot,false,Sos Tomato,Tomato Sauce,true
13,13,Llama 3.2 3B Instruct,zero-shot,false,Cili,Chili Pepper,true
