experiment_id,video_id,model_name,technique_name,rag_enabled,gt_quantity_value,gt_weight_g,pred_quantity_value,pred_weight_g
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,1000.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,6.0,30.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,6.0,30.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,10.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,5.0,50.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,10.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,,250.0,1.3,240.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,,30.0,1.3,300.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,1.3,325.0,1.3,300.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,100.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0,1.0,50.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,,100.0,3.0,120.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,3.0,750.0,3.0,120.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,3.5,875.0,3.0,120.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,1.0,5.0,1.0,3.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,45.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,,100.0,1.0,200.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,2.0,20.0,3.0,30.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,1.0,10.0,3.0,30.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,8.0,400.0,8.0,50.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,,,4.0,10.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0,1.0,20.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,5.0,25.0,5.0,25.0
