experiment_id,video_id,model_name,technique_name,rag_enabled,gt_name_original,gt_name_en,pred_name_original,pred_name_en
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
1,1,Llama 3.2 3B Instruct,zero-shot,false,,,,
2,2,Llama 3.2 3B Instruct,zero-shot,false,Air Suam,Warm Water,Air suam,
2,2,Llama 3.2 3B Instruct,zero-shot,false,Susu Pekat,Condensed Milk,Susu pekat,
2,2,Llama 3.2 3B Instruct,zero-shot,false,Susu Pekat,Condensed Milk,Susu pekat,
2,2,Llama 3.2 3B Instruct,zero-shot,false,,,Yis,
2,2,Llama 3.2 3B Instruct,zero-shot,false,Telur,Egg,Telur,
2,2,Llama 3.2 3B Instruct,zero-shot,false,Tepung Gandum,Wheat Flour,Tepung gandum,
2,2,Llama 3.2 3B Instruct,zero-shot,false,Tepung Gandum,Wheat Flour,Tepung gandum,
2,2,Llama 3.2 3B Instruct,zero-shot,false,Tepung Gandum,Wheat Flour,Tepung gandum,
2,2,Llama 3.2 3B Instruct,zero-shot,false,Garam,Salt,Garam,
2,2,Llama 3.2 3B Instruct,zero-shot,false,,,Marjerin,
3,3,Llama 3.2 3B Instruct,zero-shot,false,Lala,Clam,Lala,Lala
3,3,Llama 3.2 3B Instruct,zero-shot,false,Serai,Lemongrass,Serai,Serai
3,3,Llama 3.2 3B Instruct,zero-shot,false,Serai,Lemongrass,Serai,Serai
3,3,Llama 3.2 3B Instruct,zero-shot,false,Cili Padi,Bird's Eye Chilli,Cili Padi,Cili Padi
3,3,Llama 3.2 3B Instruct,zero-shot,false,,,Lada,Lada
3,3,Llama 3.2 3B Instruct,zero-shot,false,Bawang Merah,Red Onion,Bawang Merah,Bawang Merah
3,3,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih,Garlic,Bawang Putih,Bawang Putih
3,3,Llama 3.2 3B Instruct,zero-shot,false,,,Ketumbar,Ketumbar
3,3,Llama 3.2 3B Instruct,zero-shot,false,Sos Tiram,Oyster Sauce,Sos Tiram,Sos Tiram
3,3,Llama 3.2 3B Instruct,zero-shot,false,Sos Ikan,Fish Sauce,Sos Ikan,Sos Ikan
6,6,Llama 3.2 3B Instruct,zero-shot,false,,,tempe,
6,6,Llama 3.2 3B Instruct,zero-shot,false,Cili Padi,Bird's Eye Chilli,cili padi,
6,6,Llama 3.2 3B Instruct,zero-shot,false,,,lada merah,
6,6,Llama 3.2 3B Instruct,zero-shot,false,Tomato,Tomato,tomato,
6,6,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih,Garlic,bawang putih,
6,6,Llama 3.2 3B Instruct,zero-shot,false,Limau Kasturi,Calamansi Lime,limau kasturi,
6,6,Llama 3.2 3B Instruct,zero-shot,false,,,kapur,
7,7,Llama 3.2 3B Instruct,zero-shot,false,,,Gula-gula kapas,Gula-gula kapas
7,7,Llama 3.2 3B Instruct,zero-shot,false,,,Kepingan coklat,Chocolate pieces
7,7,Llama 3.2 3B Instruct,zero-shot,false,,,Biskut Marie,Marie biscuits
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,
